id,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,LONG,LAT
44,WICKMAN FAMILY MEDICAL CARE,901-377-3001,8485 UNITED STATES HIGHWAY 64, ,MEMPHIS,TN,38133,-89.7792558,35.203563
45,CONCENTRA URGENT CARE - OKLAHOMA CITY SOUTH,405-632-1002,7100 SOUTH INTERSTATE 35 SERVICE ROAD,SUITE 7,OKLAHOMA CITY,OK,73149,-97.49423929999999,35.3960198
46,SUMMIT URGENT CARE,915-857-4559,1523 NORTH ZARAGOSA ROAD, ,EL PASO,TX,79936,-106.29092709999999,31.7397648
47,FIRST MED,254-298-2580,1905 SOUTHWEST H K DODGEN LOOP, ,TEMPLE,TX,76502,-97.3765528,31.072704100000003
48,CARE NOW - HURST,817-428-7300,400 MID CITIES BOULEVARD, ,HURST,TX,76054,-97.1727657,32.8679918
49,HEALTH CARE PARTNERS URGENT CARE,505-268-0700,5400 GIBSON BOULEVARD SOUTHEAST, ,ALBUQUERQUE,NM,87108,-106.58252209999999,35.0576115
50,WELLS WALK-IN CLINIC,281-890-3822,10311 NORTH ELDRIDGE PARKWAY,SUITE B5,HOUSTON,TX,77065,-95.6060417,29.9226951
51,MAGNOLIA MEDICAL,903-727-2925,3201 SOUTH STATE HIGHWAY 256 LOOP, ,PALESTINE,TX,75801,-95.63170759999998,31.736040799999998
52,MINOR EMERGENCY CENTER,806-797-4357,5015 UNIVERSITY AVENUE,UNIT B1,LUBBOCK,TX,79413,-101.86994,33.547085100000004
53,FERGUSON MEDICAL GROUP URGENT CARE,573-481-5017,1012 NORTH MAIN STREET, ,SIKESTON,MO,63801,-89.5852235,36.890380900000004
54,RAPID MED URGENT CARE,972-966-1980,2940 FARM TO MARKET 407,SUITE 302,HIGHLAND VILLAGE,TX,75077,-97.0758503,33.0742659
55,LEWISVILLE FAMILY AND URGENT CARE,972-459-2386,751 HEBRON PARKWAY,SUITE 100,LEWISVILLE,TX,75057,-96.9672127,33.011588
56,PRIMACARE MEDICAL CENTER - MCKINNEY,469-952-3737,1920 WEST ELDORADO PARKWAY, ,MCKINNEY,TX,75069,-96.63871429999999,33.1723243
57,PRESBYTERIAN URGENT CARE,505-823-8888,5901 HARPER DRIVE NORTHEAST, ,ALBUQUERQUE,NM,87109,-106.58447530000001,35.1540864
58,BAPTIST MEMORIAL HEALTH CARE MINOR MEDICAL CENTER - MEMPHIS,901-327-8188,3295 POPLAR AVENUE,SUITE 105,MEMPHIS,TN,38111,-89.9524379,35.129192100000004
59,PHYSICIAN NOW URGENT CARE,913-825-0909,22334 WEST 66TH STREET, ,SHAWNEE,KS,66226,-94.8457385,39.0099536
60,MANSFIELD URGENT CARE AND FAMILY MEDICINE,817-473-3979,1811 UNITED STATES HIGHWAY 287 NORTH,SUITE 150,MANSFIELD,TX,76063,-97.1440688,32.5915849
61,FIRST MED URGENT CARE,405-636-0767,7807 SOUTH WALKER AVENUE, ,OKLAHOMA CITY,OK,73139,-97.5222363,35.3888705
62,AUSTIN DIAGNOSTIC CLINIC- URGENT CARE,512-901-4000,2400 CEDAR BEND DRIVE, ,AUSTIN,TX,78758,-97.70398,30.4132473
63,NEXTCARE URGENT CARE - GEORGETOWN,512-930-7828,902 NORTH AUSTIN AVENUE, ,GEORGETOWN,TX,78626,-97.6774983,30.6502455
64,NEVADA URGENT CARE,417-667-9000,627 SOUTH ASH STREET,SUITE A,NEVADA,MO,64772,-94.35930379999999,37.832266499999996
65,GOLD COAST URGENT CARE AT OCHSNER,504-899-8611,2820 NAPOLEON AVENUE, ,NEW ORLEANS,LA,70115,-90.10393409999999,29.937573800000003
66,NEW ORLEANS URGENT CARE,504-552-2433,900 MAGAZINE STREET, ,NEW ORLEANS,LA,70130,-90.0695743,29.943643800000004
67,DFW URGENT CARE,877-877-3737,500 8TH AVENUE,SUITE 110,FORT WORTH,TX,76104,-97.3440444,32.7398126
68,CONVENIENT CARE,308-389-3278,727 NORTH CUSTER AVENUE, ,GRAND ISLAND,NE,68803,-98.3679423,40.9259599
69,DOCTORS URGENT CARE,417-256-1006,1709 GIBSON STREET, ,WEST PLAINS,MO,65775,-91.87625909999998,36.7432761
70,DODGE CITY MEDICAL CENTER URGENT CARE CLINIC,620-227-1372,2020 CENTRAL AVENUE, ,DODGE CITY,KS,67801,-100.015805,37.7687033
71,DOCTORS URGENT CARE,985-690-8300,985 ROBERT BOULEVARD,SUITE 101,SLIDELL,LA,70458,-89.769428,30.2912223
72,CANYONLANDS URGENT CARE,928-645-1700,440 NORTH NAVAJO DRIVE, ,PAGE,AZ,86040,-111.4628261,36.9166911
73,CONCENTRA URGENT CARE - ALBUQUERQUE,505-345-9599,3811 COMMONS AVENUE NORTHEAST, ,ALBUQUERQUE,NM,87109,-106.602888,35.1441035
74,ABQ HEALTH PARTNERS URGENT CARE CENTER,505-896-8604,1721 RIO RANCHO BOULEVARD SOUTHEAST, ,ALBUQUERQUE,NM,87124,-106.6602757,35.2286138
75,CONCENTRA URGENT CARE - LAKEWOOD,303-239-6060,770 SIMMS STREET,SUITE 100,GOLDEN,CO,80401,-105.1274763,39.728732
76,OZARK MEDICAL CENTER - HIGHLAND PARK MEDICAL URGENT CARE,417-257-5911,181 NORTH KENTUCKY STREET, ,WEST PLAINS,MO,65775,-91.87491170000001,36.7276052
77,URGENT CARE CENTER - DENISON,903-416-7544,3126 WEST FARM TO MARKET 120, ,DENISON,TX,75020,-96.58367170000001,33.7619065
78,SALAS MINOR EMERGENCY CENTER,903-739-9191,1655 STATE HIGHWAY 286 LOOP NORTHEAST, ,PARIS,TX,75460,-95.539312,33.6814191
79,CONCENTRA URGENT CARE - DALLAS FOREST PARK,817-882-8700,2500 WEST FREEWAY, ,FORT WORTH,TX,76102,-97.35450970000001,32.738684
80,SADLER CLINIC,281-943-2430,9305 PINECROFT DRIVE, ,THE WOODLANDS,TX,77380,-95.45723000000001,30.173045899999998
81,CONCENTRA URGENT CARE - ENCINO,505-842-5151,801 ENCINO PLACE NORTHEAST,SUITE E12,ALBUQUERQUE,NM,87102,-106.6325142,35.089853000000005
82,URGENT CARE EXPRESS - MESA,480-654-5661,415 NORTH VAL VISTA DRIVE,SUITE 101,MESA,AZ,85213,-111.75233670000001,33.42326
83,DOCTOR ON CALL - WEST SIDE,505-452-9015,3211 COORS BOULEVARD SOUTHWEST, ,ALBUQUERQUE,NM,87121,-106.71592530000001,35.0287673
84,URGENT CARE CLINIC,903-786-3911,111 EAST FARM TO MARKET 120,SUITE 104,POTTSBORO,TX,75076,-96.6674172,33.7625239
85,SAINT JOHNS MERCY CARE NOW,636-583-5300,1935 PRAIRIE DELL ROAD,SUITE 500,UNION,MO,63084,-90.9708521,38.4301861
86,TILLERY FAMILY PRACTICE CLINIC,504-365-9906,3712 MACARTHUR BOULEVARD,SUITE 103,NEW ORLEANS,LA,70114,-90.0183646,29.925296399999997
87,LIBERTY URGENT CARE,816-415-8855,1177 WEST KANSAS STREET, ,LIBERTY,MO,64068,-94.4409886,39.2437665
88,ADAMS MEDICAL CLINIC URGENT CARE PLUS - STILLWATER,405-385-0029,1909 WEST 6TH AVENUE,SUITE B,STILLWATER,OK,74074,-97.0819813,36.115469
89,THIBODAUX URGENT CARE,985-446-5210,318 NORTH CANAL BOULEVARD, ,THIBODAUX,LA,70301,-90.8168697,29.8053398
90,SUGAR LAND MINOR EMERGENCY CLINIC,281-494-7773,4415 STATE HIGHWAY 6, ,SUGAR LAND,TX,77478,-95.5859343,29.583695399999996
91,CONCENTRA URGENT CARE - SANTA FE,505-438-9402,720 SAINT MICHAELS DRIVE,SUITE C,SANTA FE,NM,87505,-105.9603547,35.6574136
92,WESTWOOD URGENT CARE,913-588-8700,2330 SHAWNEE MISSION PARKWAY,SUITE 1104,WESTWOOD,KS,66205,-94.6131813,39.0339735
93,CONCENTRA URGENT CARE - NEW ORLEANS,504-561-1051,318 BARONNE STREET, ,NEW ORLEANS,LA,70112,-90.0722439,29.9518303
94,FORDLAND CLINIC URGENT CARE,417-767-2273,1059 BARTON DRIVE, ,FORDLAND,MO,65652,-92.9251184,37.161914700000004
95,LAWTON URGENT CARE ASSOCIATES DOING BUSINESS AS WELLFAST URGENT CARE CENTER,580-536-9400,20 NORTHWEST 67TH STREET,SUITE E,LAWTON,OK,73505,-98.4752515,34.609706700000004
96,AM/PM DOCTORS URGENT CARE,405-722-2378,7109 WEST HEFNER ROAD,SUITE D,OKLAHOMA CITY,OK,73162,-97.6404168,35.5804943
97,CONCENTRA URGENT CARE - OKLAHOMA CITY MERIDIAN,405-942-8767,200 SOUTH QUADRUM DRIVE, ,OKLAHOMA CITY,OK,73108,-97.5808767,35.4632347
98,MINOR EMERGENCY CLINIC,580-234-1831,402 SOUTH OAKWOOD ROAD,SUITE B,ENID,OK,73703,-97.92641,36.39391679999999
99,GRANGER MEDICAL URGENT CARE,801-965-3608,3725 WEST 4100 SOUTH, ,SALT LAKE CITY,UT,84120,-111.98019380000001,40.681309399999996
100,CLINICS OF NORTH TEXAS - CLINIC CARE,940-761-8522,501 MIDWESTERN PARKWAY EAST, ,WICHITA FALLS,TX,76302,-98.4760551,33.8754099
101,HUTCHINSON CLINIC SAME DAY CARE,620-669-2500,2101 NORTH WALDRON STREET, ,HUTCHINSON,KS,67502,-97.8953374,38.0769512
102,LAKE WORTH MINOR EMERGENCY CLINIC,817-237-8273,6302 LAKE WORTH BOULEVARD,SUITE A,FORT WORTH,TX,76135,-97.4223911,32.8120039
103,MINOR MED,785-272-4000,1119 SOUTHWEST GAGE BOULEVARD, ,TOPEKA,KS,66604,-95.7269316,39.0495542
104,HOUSTON URGENT CARE CLINIC,281-855-1600,16125 CAIRNWAY DRIVE, ,HOUSTON,TX,77084,-95.64358709999999,29.840780199999998
105,MED-ASSIST PROFESSIONAL ASSOCIATION,785-272-2161,4011 SOUTHWEST 29TH STREET, ,TOPEKA,KS,66614,-95.72766990000001,39.0145506
106,HOUSTON URGENT CARE CLINIC,832-428-4546,1826 WIRT ROAD, ,HOUSTON,TX,77055,-95.48390400000001,29.804059999999996
107,PROMPT CARE,308-381-3800,1300 SOUTH LOCUST STREET,SUITE A,GRAND ISLAND,NE,68801,-98.3403102,40.9078544
108,FIRST MED URGENT CARE,405-478-0633,13420 NORTH PENNSYLVANIA AVENUE, ,OKLAHOMA CITY,OK,73120,-97.54883709999999,35.6061641
109,MINOR MED CARE,601-372-1117,2860 MCDOWELL ROAD EXTENSION, ,JACKSON,MS,39204,-90.2597987,32.2694525
110,SAINT JOHN'S MERCY URGENT CARE CENTER,636-379-4329,300 WINDING WOODS DRIVE,SUITE 100,O FALLON,MO,63366,-90.6988281,38.784371500000006
111,MEDICAL EXPRESS,913-248-8000,11338 WEST 63RD STREET, ,SHAWNEE,KS,66203,-94.718713,39.0152485
112,CAREPLUS FAMILY MEDICINE,601-932-0083,4290 LAKELAND DRIVE, ,FLOWOOD,MS,39232,-90.0902814,32.3400076
113,CONCENTRA URGENT CARE - SAINT CHARLES,636-947-1666,1551 WALL STREET,SUITE 100,SAINT CHARLES,MO,63303,-90.5248658,38.780065
114,MEA MEDICAL CLINIC,601-898-7500,308 CORPORATE DRIVE, ,RIDGELAND,MS,39157,-90.15256020000001,32.4176492
115,VILLAGE PEDIATRICS,913-642-2100,7301 MISSION ROAD,SUITE 350,PRAIRIE VILLAGE,KS,66208,-94.63002390000001,38.996265799999996
116,CONCENTRA URGENT CARE - LENEXA,913-894-6664,14809 WEST 95TH STREET, ,LENEXA,KS,66215,-94.7585321,38.9552282
117,BAPTIST NORTHTOWN,601-957-1015,6250 OLD CANTON ROAD, ,JACKSON,MS,39211,-90.1136281,32.387700800000005
118,IMMEDIATE CARE OF OKLAHOMA,405-735-2370,11808 SOUTH MAY AVENUE, ,OKLAHOMA CITY,OK,73170,-97.56483979999999,35.3502229
119,FREEMAN HEALTH URGENT CARE,417-347-2273,1130 EAST 32ND STREET, ,JOPLIN,MO,64804,-94.50310870000001,37.0543535
120,KU MEDICAL WEST,913-588-8450,7405 RENNER ROAD,POD D,SHAWNEE,KS,66217,-94.7761893,38.9946653
121,PROMED MEDICAL CARE CENTER - SOUTH,512-447-9661,3801 SOUTH LAMAR BOULEVARD, ,AUSTIN,TX,78704,-97.78914379999999,30.2379673
122,CLOVERLEAF IMMEDIATE CARE,601-296-2800,5909 UNITED STATES HIGHWAY 49 SOUTH,CLOVERLEAF MEDICAL PLAZA SUITE 20,HATTIESBURG,MS,39402,-89.32029150000001,31.309894500000002
123,SOUTH TEXAS URGENT CARE CENTER,830-278-1166,3040 EAST MAIN STREET, ,UVALDE,TX,78801,-99.7549563,29.2326652
124,KIDS FIRST PEDIATRICS,956-585-2822,1022 EAST GRIFFIN PARKWAY,SUITE 105,MISSION,TX,78572,-98.308461,26.2265826
125,LAKEWOOD ENDOSCOPY CENTER,303-996-1188,7000 WEST COLFAX AVENUE, ,LAKEWOOD,CO,80214,-105.0747144,39.739766700000004
126,CENTRUM SURGICAL CENTER LIMITED,303-290-0600,8200 EAST BELLEVIEW AVENUE,SUITE 300,GREENWOOD VILLAGE,CO,80111,-104.89351609999999,39.623267299999995
127,PAIN CENTERS OF AMERICA,303-432-8777,10050 WEST 41ST AVENUE, ,WHEAT RIDGE,CO,80033,-105.1100379,39.773075
128,ENGLEWOOD SURGERY CENTER LIMITED LIABILITY COMPANY,720-274-0340,3277 SOUTH LINCOLN STREET, ,ENGLEWOOD,CO,80113,-104.98673059999999,39.6570858
129,BELMAR AMBULATORY SURGICAL CENTER LIMITED LIABILITY CENTER,303-934-7000,325 SOUTH TELLER STREET,SUITE 200,LAKEWOOD,CO,80226,-105.07728490000001,39.7106539
130,MEDEXPRESS URGENT CARE - NORTHGLENN,303-480-3627,1050 WEST 104TH AVENUE,SUITE B,NORTHGLENN,CO,80234,-104.9994128,39.8845424
131,URGENT CARE OF KANSAS CITY,816-795-6000,4741 SOUTH ARROWHEAD DRIVE,SUITE B,INDEPENDENCE,MO,64055,-94.3597824,39.0292828
132,TELLURIDE MEDICAL CENTER,970-728-3848,500 WEST PACIFIC AVENUE, ,TELLURIDE,CO,81435,-107.8163878,37.93749879999999
133,ROCKY MOUNTAIN SURGERY CENTER LIMITED LIABILITY COMPANY,303-789-4000,401 WEST HAMPDEN PLACE,SUITE 100,ENGLEWOOD,CO,80110,-104.99281409999999,39.6544559
134,COLORADO ENDOSCOPY CENTERS LIMITED LIABILITY COMPANY,303-532-2986,205 SOUTH MAIN STREET,SUITE A,LONGMONT,CO,80501,-105.10302069999999,40.15438579999999
135,CONCENTRA MEDICAL CENTER URGENT CARE - TEMPE,480-968-7200,950 WEST SOUTHERN AVENUE, ,TEMPE,AZ,85282,-111.9512798,33.393314399999994
136,MISSISSIPPI EMERGENCY ASSOCIATION MEDICAL CLINICS - BYRAM CLINIC,601-373-1234,7300 SOUTH SIWELL ROAD, ,BYRAM,MS,39272,-90.2664058,32.1898386
137,FLAGSTAFF WALK-IN CLINIC,928-527-1920,1110 EAST UNITED STATES HIGHWAY 66,SUITE 100,FLAGSTAFF,AZ,86001,-111.6369727,35.194123100000006
138,SAINT ANTHONYS MEDICAL CENTER - BIG BEND URGENT CARE,314-543-5970,10296 BIG BEND BOULEVARD,SUITE 110,SAINT LOUIS,MO,63122,-90.3970018,38.567185200000004
139,REDI-MED - URGENT CARE,985-626-3470,4430 STATE HIGHWAY 22, ,MANDEVILLE,LA,70471,-90.1014212,30.397728499999996
140,EAST JEFFERSON AFTER HOURS - KENNER,504-461-9660,708 WEST ESPLANADE AVENUE, ,KENNER,LA,70065,-90.25825959999999,30.0222049
141,URGENT CARE OF METAIRIE INCORPORATED,504-837-7817,1937 VETERANS MEMORIAL BOULEVARD, ,METAIRIE,LA,70005,-90.1448645,30.0025662
142,BOONE CONVENIENT CARE,573-874-0008,601 BUSINESS LOOP 70 WEST,SUITE 275,COLUMBIA,MO,65203,-92.3453768,38.9673871
143,ROCKY MOUNTAIN URGENT CARE - SOUTH LAKEWOOD,720-205-3012,1555 SOUTH WADSWORTH BOULEVARD, ,LAKEWOOD,CO,80232,-105.08181450000001,39.6883243
144,IMMEDIATE MEDICAL CARE,281-335-0606,1202 NASA PARKWAY, ,NASSAU BAY,TX,77058,-95.1025094,29.5466036
145,HEALTH FIRST,636-227-8880,14309 MANCHESTER ROAD, ,BALLWIN,MO,63011,-90.5105172,38.5932433
146,DUCHESNE VALLEY MEDICAL CLINIC,435-738-2426,50 EAST 200 SOUTH STREET,SUITE 905,DUCHESNE,UT,84021,-110.40058470000001,40.1607956
147,ROCKY MOUNTAIN URGENT CARE - COMMERCE CITY,303-286-0027,18240 EAST 104TH AVENUE,UNIT 205,COMMERCE CITY,CO,80022,-104.774732,39.884789899999994
148,RIVERWOODS URGENT CARE CENTER,801-229-2011,280 RIVER PARK DRIVE,SUITE 120,PROVO,UT,84604,-111.66201219999999,40.3044554
149,URGENT CARE HEALTH CENTERS,480-855-7585,2815 SOUTH ALMA SCHOOL ROAD,SUITE 7,CHANDLER,AZ,85248,-111.8561541,33.2643027
150,EAST HOUSTON URGENT CARE,713-453-9800,11410 EAST FREEWAY,SUITE 168,HOUSTON,TX,77029,-95.2298044,29.7715576
151,EC CARE HEALTH CENTER - DESOTO,972-283-0444,911 NORTH HAMPTON ROAD, ,DESOTO,TX,75115,-96.85857390000001,32.6047792
152,CONCENTRA URGENT CARE - LITTLETON,303-789-1009,20 WEST DRY CREEK CIRCLE,SUITE 100,LITTLETON,CO,80120,-104.99313470000001,39.582078499999994
153,TUCSON CLINICA MEDICA FAMILIA,520-620-1200,3770 SOUTH 16TH AVENUE,SANTA CRUZ PLAZA,TUCSON,AZ,85713,-110.9831832,32.178462100000004
154,INTERMOUNTAIN HEALTH CARE - MANTI CLINIC,435-835-3344,159 NORTH MAIN STREET, ,MANTI,UT,84642,-111.6373767,39.2677782
155,FAST ER CARE,405-602-3500,4001 NORTHWEST EXPRESSWAY STREET, ,OKLAHOMA CITY,OK,73116,-97.5880987,35.5364877
156,PELICAN URGENT CARE,985-645-9000,2375 GAUSE BOULEVARD EAST, ,SLIDELL,LA,70461,-89.7251154,30.2895606
157,CONVENIENT CARE,618-443-6228,1300 NORTH MARKET STREET, ,SPARTA,IL,62286,-89.7031466,38.1379776
158,FIRSTMED INDUSTRIAL CLINIC,801-973-2588,441 SOUTH REDWOOD ROAD, ,SALT LAKE CITY,UT,84104,-111.93825430000001,40.7595481
159,SALINA FAMILY HEALTHCARE CENTER,785-825-7251,651 EAST PRESCOTT ROAD, ,SALINA,KS,67401,-97.6006944,38.8282823
160,SAINT JOHN URGENT CARE - SOUTH MEMORIAL,918-872-6880,8131 SOUTH MEMORIAL DRIVE, ,TULSA,OK,74133,-95.88412459999999,36.044964799999995
161,SAINT JOHNS EXPRESS CARE - NEOSHO,417-455-9057,2550 LUSK DRIVE, ,NEOSHO,MO,64850,-94.394829,36.8425419
162,EXPRESSCARE PLUS - MAIN,719-597-4200,2141 NORTH ACADEMY CIRCLE, ,COLORADO SPRINGS,CO,80909,-104.75472579999999,38.8630726
163,SNOW CREEK EMERGENCY MEDICAL CENTER,435-655-0055,1600 SNOW CREEK DRIVE, ,PARK CITY,UT,84060,-111.50916869999999,40.6624932
164,SAINT JOHN'S URGENT CARE - WEST KEARNEY,417-869-6191,2120 WEST KEARNEY STREET, ,SPRINGFIELD,MO,65803,-93.3193163,37.240283700000006
165,FIRSTMED WEST URGENT CARE,801-256-0009,8822 SOUTH REDWOOD ROAD,SUITE E 122,WEST JORDAN,UT,84088,-111.9407736,40.5914025
166,SAINT JOHN'S URGENT CARE - MONETT,417-235-0196,315 EAST CLEVELAND AVENUE, ,MONETT,MO,65708,-93.92527240000001,36.9285194
167,HEALTH CLINICS OF UTAH,801-468-0354,3195 SOUTH MAIN STREET, ,SALT LAKE CITY,UT,84115,-111.8907162,40.7014537
168,UNIVERSITY OF UTAH PARKWAY URGENT CARE,801-234-8600,145 WEST UNIVERSITY PARKWAY, ,OREM,UT,84058,-111.698849,40.2727643
169,SAINT JOHN'S URGENT CARE - NIXA,417-724-5280,940 WEST MOUNT VERNON STREET, ,NIXA,MO,65714,-93.30352059999998,37.04335
170,SAINT JOHN'S URGENT CARE - BRANSON-248,417-337-5000,1065 STATE HIGHWAY 248, ,BRANSON,MO,65616,-93.23670899999999,36.6628634
171,OLYMPUS URGENT CARE,801-277-2682,4624 SOUTH HOLLADAY BOULEVARD, ,SALT LAKE CITY,UT,84117,-111.8265027,40.6699979
172,SAINT LOUIS CONNECTCARE - THE SMILEY URGENT CARE CENTER,314-879-6300,5535 DELMAR BOULEVARD, ,SAINT LOUIS,MO,63112,-90.2799083,38.653903
