Provider_ID,Hospital_Name,Address,City,State,ZIP_Code,Phone_Number,Condition,Score,Sample,Location,Hospital_overall_rating
220163,"UMASS MEMORIAL MEDICAL CENTER INC","55 LAKE AVENUE NORTH",WORCESTER,MA,1655,5083341000,"Emergency Department",46,380,"55 LAKE AVENUE NORTH
WORCESTER, MA
(42.27851, -71.759079)",1
220098,"NASHOBA VALLEY MEDICAL CENTER","200 GROTON ROAD",AYER,MA,1432,9787849000,"Emergency Department",28,342,"200 GROTON ROAD
AYER, MA
(42.576412, -71.573053)",3
220066,"MERCY MEDICAL CTR","271 CAREW STREET",SPRINGFIELD,MA,1104,4137489000,"Emergency Department",52,404,"271 CAREW STREET
SPRINGFIELD, MA
(42.115878, -72.595442)",2
220063,"LOWELL GENERAL HOSPITAL","295 VARNUM AVENUE",LOWELL,MA,1854,9789376000,"Emergency Department",74,549,"295 VARNUM AVENUE
LOWELL, MA
(42.646493, -71.340573)",2
230151,"BEAUMONT HOSPITAL - FARMINGTON HILLS","28050 GRAND RIVER AVENUE","FARMINGTON HILLS",MI,48336,2484718000,"Emergency Department",13,386,"28050 GRAND RIVER AVENUE
FARMINGTON HILLS, MI
(42.44363, -83.324789)",2
230015,"THREE RIVERS HEALTH","701 S HEALTH PARKWAY","THREE RIVERS",MI,49093,2692739602,"Emergency Department",34,772,"701 S HEALTH PARKWAY
THREE RIVERS, MI
(41.934946, -85.647048)",3
230003,"SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL","8333 FELCH ST",ZEELAND,MI,49464,6167724644,"Emergency Department",11,382,"8333 FELCH ST
ZEELAND, MI
(42.819539, -85.988129)",5
221303,"ATHOL MEMORIAL HOSPITAL","2033 MAIN STREET",ATHOL,MA,1331,9782493511,"Emergency Department",27,551,"2033 MAIN STREET
ATHOL, MA
(42.586273, -72.208748)",3
220175,"METROWEST MEDICAL CENTER","115 LINCOLN STREET",FRAMINGHAM,MA,1701,5083831000,"Emergency Department",31,407,"115 LINCOLN STREET
FRAMINGHAM, MA
(42.28427, -71.419754)",3
230022,"COMMUNITY HEALTH CENTER OF BRANCH COUNTY","274 E CHICAGO ST",COLDWATER,MI,49036,5172795400,"Emergency Department",32,260,"274 E CHICAGO ST
COLDWATER, MI
(41.938969, -84.990585)",3
230040,"SPECTRUM HEALTH PENNOCK","1009 W GREEN ST",HASTINGS,MI,49058,2699453451,"Emergency Department",35,418,"1009 W GREEN ST
HASTINGS, MI
(42.6442, -85.3021)",2
220095,"HEYWOOD HOSPITAL -","242 GREEN STREET",GARDNER,MA,1440,9786323420,"Emergency Department",29,401,"242 GREEN STREET
GARDNER, MA
(42.586565, -71.986165)",3
230020,"BEAUMONT HOSPITAL - DEARBORN","18101 OAKWOOD BLVD",DEARBORN,MI,48124,3135937125,"Emergency Department",44,415,"18101 OAKWOOD BLVD
DEARBORN, MI
(42.291912, -83.211951)",4
230035,"SPECTRUM HEALTH UNITED HOSPITAL","615 S BOWER STREET",GREENVILLE,MI,48838,6167544691,"Emergency Department",16,393,"615 S BOWER STREET
GREENVILLE, MI
(43.175469, -85.268781)",5
230093,"SPECTRUM HEALTH BIG RAPIDS HOSPITAL","605 OAK STREET","BIG RAPIDS",MI,49307,2317968691,"Emergency Department",14,437,"605 OAK STREET
BIG RAPIDS, MI
(43.693126, -85.475763)",4
220086,"BETH ISRAEL DEACONESS MEDICAL CENTER","330 BROOKLINE AVENUE",BOSTON,MA,2215,6176677000,"Emergency Department",48,384,"330 BROOKLINE AVENUE
BOSTON, MA
(42.340575, -71.105504)",3
230002,"ST MARY MERCY HOSPITAL","36475 FIVE MILE ROAD",LIVONIA,MI,48154,7346554800,"Emergency Department",18,426,"36475 FIVE MILE ROAD
LIVONIA, MI
(42.39657, -83.404577)",3
230024,"SINAI-GRACE HOSPITAL","6071 W OUTER DRIVE",DETROIT,MI,48235,3139663300,"Emergency Department",39,393,"6071 W OUTER DRIVE
DETROIT, MI
(42.420102, -83.181471)",1
220105,"WINCHESTER HOSPITAL","41 HIGHLAND AVENUE",WINCHESTER,MA,1890,7817299000,"Emergency Department",58,383,"41 HIGHLAND AVENUE
WINCHESTER, MA
(42.465496, -71.121408)",5
230029,"ST JOSEPH MERCY OAKLAND","44405 WOODWARD AVE",PONTIAC,MI,48341,2488583000,"Emergency Department",17,404,"44405 WOODWARD AVE
PONTIAC, MI
(42.614943, -83.2751)",4
220126,"NORWOOD HOSPITAL","800 WASHINGTON STREET",NORWOOD,MA,2062,5087721000,"Emergency Department",21,351,"800 WASHINGTON STREET
NORWOOD, MA
(42.189462, -71.20264)",3
221302,"FAIRVIEW HOSPITAL","29 LEWIS AVENUE","GREAT BARRINGTON",MA,1230,4135280790,"Emergency Department",19,102,"29 LEWIS AVENUE
GREAT BARRINGTON, MA
(42.191982, -73.372523)",5
230038,"SPECTRUM HEALTH - BUTTERWORTH CAMPUS","100 MICHIGAN ST NE","GRAND RAPIDS",MI,49503,6163911774,"Emergency Department",17,443,"100 MICHIGAN ST NE
GRAND RAPIDS, MI
(42.970527, -85.665319)",4
230021,"LAKELAND HOSPITAL, ST JOSEPH","1234 NAPIER AVENUE","ST JOSEPH",MI,49085,2699838300,"Emergency Department",11,384,"1234 NAPIER AVENUE
ST JOSEPH, MI
(42.089742, -86.477194)",4
10095,"HALE COUNTY HOSPITAL","508 GREEN STREET",GREENSBORO,AL,36744,3346243024,"Emergency Department",30,384,"508 GREEN STREET
GREENSBORO, AL
",3
220116,"TUFTS MEDICAL CENTER","800 WASHINGTON STREET",BOSTON,MA,2111,6176365000,"Emergency Department",28,377,"800 WASHINGTON STREET
BOSTON, MA
(42.283481, -71.071473)",3
230036,"MIDMICHIGAN MEDICAL CENTER - ALPENA","1501 W CHISHOLM ST",ALPENA,MI,49707,9893567390,"Emergency Department",39,456,"1501 W CHISHOLM ST
ALPENA, MI
(45.076857, -83.450672)",4
230037,"HILLSDALE HOSPITAL","168 S HOWELL STREET",HILLSDALE,MI,49242,5174374451,"Emergency Department",24,1634,"168 S HOWELL STREET
HILLSDALE, MI
(41.911437, -84.631702)",3
230017,"BRONSON METHODIST HOSPITAL","601 JOHN STREET",KALAMAZOO,MI,49007,2693416000,"Emergency Department",47,487,"601 JOHN STREET
KALAMAZOO, MI
(42.286165, -85.581333)",5
220101,"NEWTON-WELLESLEY HOSPITAL","2014 WASHINGTON STREET",NEWTON,MA,2462,6172436000,"Emergency Department",38,382,"2014 WASHINGTON STREET
NEWTON, MA
(42.332339, -71.246592)",5
220111,"GOOD SAMARITAN MEDICAL CENTER","235 NORTH PEARL STREET",BROCKTON,MA,2301,5084273000,"Emergency Department",39,361,"235 NORTH PEARL STREET
BROCKTON, MA
(42.09707, -71.065645)",2
220135,"FALMOUTH HOSPITAL","67 & 100 TER HEUN DRIVE",FALMOUTH,MA,2540,5085485300,"Emergency Department",26,402,"67 &amp; 100 TER HEUN DRIVE
FALMOUTH, MA
(41.564962, -70.621126)",4
220176,"ST VINCENT HOSPITAL","123 SUMMER STREET",WORCESTER,MA,1608,5083635000,"Emergency Department",44,428,"123 SUMMER STREET
WORCESTER, MA
(42.266086, -71.795505)",3
220090,"MILFORD REGIONAL MEDICAL CENTER","14 PROSPECT STREET",MILFORD,MA,1757,5084731190,"Emergency Department",36,523,"14 PROSPECT STREET
MILFORD, MA
(42.132835, -71.529014)",3
220084,"EMERSON HOSPITAL -","133 OLD ROAD TO 9 ACRE CORNER","W CONCORD",MA,1742,9783691400,"Emergency Department",32,380,"133 OLD ROAD TO 9 ACRE CORNER
W CONCORD, MA
(42.452628, -71.377231)",4
220100,"SOUTH SHORE HOSPITAL","55 FOGG ROAD","SOUTH WEYMOUTH",MA,2190,7813408000,"Emergency Department",32,407,"55 FOGG ROAD
SOUTH WEYMOUTH, MA
(42.17472, -70.954075)",2
223302,"BOSTON CHILDREN'S HOSPITAL","300 LONGWOOD AVENUE",BOSTON,MA,2115,6177356000,"Emergency Department","Not Available","Not Available","300 LONGWOOD AVENUE
BOSTON, MA
(42.337774, -71.105165)","Not Available"
220119,"BRIGHAM AND WOMEN'S FAULKNER HOSPITAL","1153 CENTRE STREET",BOSTON,MA,2130,6179837000,"Emergency Department",16,381,"1153 CENTRE STREET
BOSTON, MA
(42.30066, -71.127432)",5
230005,"PROMEDICA BIXBY HOSPITAL","818 RIVERSIDE AVENUE",ADRIAN,MI,49221,5172650900,"Emergency Department",6,409,"818 RIVERSIDE AVENUE
ADRIAN, MI
(41.912713, -84.049555)",4
220083,"BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM","148 CHESTNUT STREET",NEEDHAM,MA,2494,7814533002,"Emergency Department",26,407,"148 CHESTNUT STREET
NEEDHAM, MA
(42.277574, -71.237358)",4
230019,"PROVIDENCE - PROVIDENCE PARK HOSPITAL","16001 W NINE MILE RD",SOUTHFIELD,MI,48075,2488493011,"Emergency Department",23,810,"16001 W NINE MILE RD
SOUTHFIELD, MI
(42.459196, -83.205163)",4
230085,"BRONSON SOUTH HAVEN HOSPITAL","955 S BAILEY AVE","SOUTH HAVEN",MI,49090,2696375271,"Emergency Department",18,412,"955 S BAILEY AVE
SOUTH HAVEN, MI
(42.391252, -86.26413)",4
230075,"BRONSON BATTLE CREEK HOSPITAL","300 NORTH AVENUE","BATTLE CREEK",MI,49017,2699668000,"Emergency Department",35,366,"300 NORTH AVENUE
BATTLE CREEK, MI
(42.330559, -85.180405)",4
10131,"CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE",HUNTSVILLE,AL,35801,2568823100,"Emergency Department",72,424,"ONE HOSPITAL DR SE
HUNTSVILLE, AL
",2
230095,"WEST BRANCH REGIONAL MEDICAL CENTER","2463 SOUTH M-30","WEST BRANCH",MI,48661,9893456366,"Emergency Department",37,453,"2463 SOUTH M-30
WEST BRANCH, MI
(44.26283, -84.24623)",3
230092,"HENRY FORD ALLEGIANCE HEALTH","205 N EAST AVE",JACKSON,MI,49201,5177884800,"Emergency Department",43,389,"205 N EAST AVE
JACKSON, MI
(42.249699, -84.393405)",4
230144,"FOREST HEALTH MEDICAL CENTER","135 S PROSPECT ST",YPSILANTI,MI,48198,7345474700,"Emergency Department","Not Available","Not Available","135 S PROSPECT ST
YPSILANTI, MI
(42.237383, -83.601916)","Not Available"
230078,"LAKELAND HOSPITAL WATERVLIET","400 MEDICAL PARK DR",WATERVLIET,MI,49098,2694633111,"Emergency Department",17,383,"400 MEDICAL PARK DR
WATERVLIET, MI
(42.184866, -86.25076)",4
230047,"HENRY FORD MACOMB HOSPITAL","15855 NINETEEN MILE RD","CLINTON TOWNSHIP",MI,48038,5862632300,"Emergency Department",6,406,"15855 NINETEEN MILE RD
CLINTON TOWNSHIP, MI
(42.612671, -82.963405)",3
230141,"MCLAREN FLINT","401 S BALLENGER HIGHWAY",FLINT,MI,48532,8103422000,"Emergency Department",26,714,"401 S BALLENGER HIGHWAY
FLINT, MI
(43.014187, -83.733578)",1
230053,"HENRY FORD HOSPITAL","2799 W GRAND BLVD",DETROIT,MI,48202,3139162600,"Emergency Department",33,412,"2799 W GRAND BLVD
DETROIT, MI
(42.366114, -83.084592)",1
230072,"HOLLAND COMMUNITY HOSPITAL","602 MICHIGAN AVE",HOLLAND,MI,49423,6163925141,"Emergency Department",14,425,"602 MICHIGAN AVE
HOLLAND, MI
(42.774599, -86.112759)",5
230054,"UP HEALTH SYSTEM - MARQUETTE","420 W MAGNETIC",MARQUETTE,MI,49855,9062289440,"Emergency Department",14,464,"420 W MAGNETIC
MARQUETTE, MI
(46.553607, -87.399158)",3
230081,"MUNSON HEALTHCARE CADILLAC HOSPITAL","400 HOBART ST",CADILLAC,MI,49601,2318767200,"Emergency Department",16,372,"400 HOBART ST
CADILLAC, MI
(44.246148, -85.390456)",5
230099,"PROMEDICA MONROE REGIONAL HOSPITAL","718 N MACOMB ST",MONROE,MI,48162,7342408400,"Emergency Department",15,558,"718 N MACOMB ST
MONROE, MI
(41.925143, -83.389075)",2
230046,"UNIVERSITY OF MICHIGAN HEALTH SYSTEM","1500 E MEDICAL CENTER DRIVE, SPC 5474","ANN ARBOR",MI,48109,7347641505,"Emergency Department",36,502,"1500 E MEDICAL CENTER DRIVE, SPC 5474
ANN ARBOR, MI
(42.28534, -83.72904)",4
230058,"MUNSON HEALTHCARE GRAYLING HOSPITAL","1100 E MICHIGAN AVE",GRAYLING,MI,49738,9893485461,"Emergency Department",22,382,"1100 E MICHIGAN AVE
GRAYLING, MI
(44.667251, -84.707939)",4
230059,"SAINT MARY'S HEALTH CARE","200 JEFFERSON AVENUE SE","GRAND RAPIDS",MI,49503,6166855000,"Emergency Department",27,369,"200 JEFFERSON AVENUE SE
GRAND RAPIDS, MI
(42.958252, -85.664114)",4
11304,"CHOCTAW GENERAL HOSPITAL","401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,2054599100,"Emergency Department",19,362,"401 VANITY FAIR LANE, PO BOX 618
BUTLER, AL
","Not Available"
230070,"COVENANT MEDICAL CENTER","1447 N HARRISON",SAGINAW,MI,48602,9895834000,"Emergency Department",19,436,"1447 N HARRISON
SAGINAW, MI
(43.428097, -83.955548)",2
230142,"BEAUMONT HOSPITAL - WAYNE","33155 ANNAPOLIS AVE",WAYNE,MI,48184,7344674175,"Emergency Department",27,383,"33155 ANNAPOLIS AVE
WAYNE, MI
(42.274275, -83.365625)",2
230041,"MCLAREN BAY REGION","1900 COLUMBUS AVE","BAY CITY",MI,48708,9898943000,"Emergency Department",33,494,"1900 COLUMBUS AVE
BAY CITY, MI
(43.589393, -83.868688)",3
230077,"ST MARY'S OF MICHIGAN MEDICAL CENTER","800 S WASHINGTON AVENUE",SAGINAW,MI,48601,9897768000,"Emergency Department",26,399,"800 S WASHINGTON AVENUE
SAGINAW, MI
(43.426012, -83.941936)",1
230080,"MCLAREN CENTRAL MICHIGAN","1221 SOUTH DRIVE","MOUNT PLEASANT",MI,48858,9897726700,"Emergency Department",24,409,"1221 SOUTH DRIVE
MOUNT PLEASANT, MI
(43.598528, -84.761389)",3
230055,"DICKINSON COUNTY MEMORIAL HOSPITAL","1721 S STEPHENSON AVE","IRON MOUNTAIN",MI,49801,9067741313,"Emergency Department",32,444,"1721 S STEPHENSON AVE
IRON MOUNTAIN, MI
(45.808572, -88.044268)",4
230118,"HURON MEDICAL CENTER","1100 SOUTH VAN DYKE ROAD","BAD AXE",MI,48413,9892699521,"Emergency Department",14,424,"1100 SOUTH VAN DYKE ROAD
BAD AXE, MI
(43.802234, -83.030815)",4
230069,"SAINT JOSEPH MERCY LIVINGSTON HOSPITAL","620 BYRON RD",HOWELL,MI,48843,5175456000,"Emergency Department",11,447,"620 BYRON RD
HOWELL, MI
(42.615372, -83.939355)",4
230066,"MERCY HEALTH MUSKEGON","1700 CLINTON STREET",MUSKEGON,MI,49442,2317263511,"Emergency Department",14,378,"1700 CLINTON STREET
MUSKEGON, MI
(43.221939, -86.243075)",4
20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287",BETHEL,AK,99559,9075436300,"Emergency Department","Not Available","Not Available","PO BOX 287
BETHEL, AK
",3
230100,"TAWAS ST JOSEPH HOSPITAL","200 HEMLOCK","TAWAS CITY",MI,48764,9893629301,"Emergency Department",18,384,"200 HEMLOCK
TAWAS CITY, MI
(44.274911, -83.511002)",4
230096,"STURGIS HOSPITAL","916 MYRTLE AVE",STURGIS,MI,49091,2696517824,"Emergency Department",24,378,"916 MYRTLE AVE
STURGIS, MI
(41.794193, -85.407308)",3
230104,"HARPER UNIVERSITY HOSPITAL","3990 JOHN R STREET",DETROIT,MI,48201,3137456211,"Emergency Department",7,385,"3990 JOHN R STREET
DETROIT, MI
(42.351375, -83.057892)",2
230089,"BEAUMONT HOSPITAL, GROSSE POINTE","468 CADIEUX RD","GROSSE POINTE",MI,48230,3133431000,"Emergency Department",22,374,"468 CADIEUX RD
GROSSE POINTE, MI
(42.384197, -82.915386)",5
230133,"OTSEGO MEMORIAL HOSPITAL","825 N CENTER AVE",GAYLORD,MI,49735,9897312100,"Emergency Department",28,381,"825 N CENTER AVE
GAYLORD, MI
(45.035601, -84.673883)",4
230146,"HENRY FORD WYANDOTTE HOSPITAL","2333 BIDDLE AVE",WYANDOTTE,MI,48192,7342466000,"Emergency Department",12,406,"2333 BIDDLE AVE
WYANDOTTE, MI
(42.209694, -83.148776)",2
21308,"NORTON SOUND REGIONAL HOSPITAL","1000 GREG KRUSCHEK AVENUE (P O BOX 966)",NOME,AK,99762,9074433311,"Emergency Department","Not Available","Not Available","1000 GREG KRUSCHEK AVENUE (P O BOX 966)
NOME, AK
","Not Available"
21309,"KANAKANAK HOSPITAL","P O BOX 130",DILLINGHAM,AK,99576,9078425201,"Emergency Department","Not Available","Not Available","P O BOX 130
DILLINGHAM, AK
","Not Available"
21310,"MANIILAQ HEALTH CENTER","PO BOX 43",KOTZEBUE,AK,99752,9074423321,"Emergency Department","Not Available","Not Available","PO BOX 43
KOTZEBUE, AK
","Not Available"
391315,"PENN HIGHLANDS ELK","763 JOHNSONBURG ROAD","SAINT MARYS",PA,15857,8147888000,"Emergency Department",17,431,"763 JOHNSONBURG ROAD
SAINT MARYS, PA
(41.426857, -78.576794)",4
230176,"BEAUMONT HOSPITAL - TRENTON","5450 FORT STREET",TRENTON,MI,48183,7346713800,"Emergency Department",20,416,"5450 FORT STREET
TRENTON, MI
(42.11581, -83.211792)",4
230156,"ST JOSEPH MERCY HOSPITAL","5301 E HURON RIVER DR","ANN ARBOR",MI,48106,7347123456,"Emergency Department",19,458,"5301 E HURON RIVER DR
ANN ARBOR, MI
(42.261803, -83.659819)",3
230167,"MCLAREN GREATER LANSING","401 W GREENLAWN AVE",LANSING,MI,48910,5179756000,"Emergency Department",38,392,"401 W GREENLAWN AVE
LANSING, MI
(42.704799, -84.555111)",3
230165,"ST JOHN HOSPITAL AND MEDICAL CENTER","22101 MOROSS RD",DETROIT,MI,48236,3133434000,"Emergency Department",22,403,"22101 MOROSS RD
DETROIT, MI
(42.419011, -82.915008)",2
230108,"UP HEALTH SYSTEM PORTAGE","500 CAMPUS DRIVE",HANCOCK,MI,49930,9064831000,"Emergency Department",10,424,"500 CAMPUS DRIVE
HANCOCK, MI
(47.141346, -88.585643)",3
241360,"DEER RIVER HEALTHCARE CENTER","115 10TH AVENUE NORTHEAST","DEER RIVER",MN,56636,2182462900,"Emergency Department",18,233,"115 10TH AVENUE NORTHEAST
DEER RIVER, MN
(47.343503, -93.791299)",3
230097,"MUNSON MEDICAL CENTER","1105 SIXTH STREET","TRAVERSE CITY",MI,49684,2319355000,"Emergency Department",12,443,"1105 SIXTH STREET
TRAVERSE CITY, MI
(44.761646, -85.641404)",4
230117,"BORGESS MEDICAL CENTER","1521 GULL ROAD",KALAMAZOO,MI,49048,2692267000,"Emergency Department",23,598,"1521 GULL ROAD
KALAMAZOO, MI
(42.304759, -85.561425)",4
230130,"BEAUMONT HOSPITAL, ROYAL OAK","3601 W THIRTEEN MILE RD","ROYAL OAK",MI,48073,2488985000,"Emergency Department",20,358,"3601 W THIRTEEN MILE RD
ROYAL OAK, MI
(42.517687, -83.192142)",3
230241,"ST JOHN RIVER DISTRICT HOSPITAL","4100 RIVER RD","EAST CHINA",MI,48054,8103297111,"Emergency Department",10,412,"4100 RIVER RD
EAST CHINA, MI
(42.786505, -82.478208)",4
230236,"METRO HEALTH HOSPITAL","5900 BYRON CENTER AVENUE, SW",WYOMING,MI,49519,6162527200,"Emergency Department",4,421,"5900 BYRON CENTER AVENUE, SW
WYOMING, MI
(42.858067, -85.722937)",4
21301,"PROVIDENCE VALDEZ MEDICAL CENTER","PO BOX 550",VALDEZ,AK,99686,9078352249,"Emergency Department","Not Available","Not Available","PO BOX 550
VALDEZ, AK
","Not Available"
230227,"MCLAREN MACOMB","1000 HARRINGTON BLVD","MOUNT CLEMENS",MI,48043,5864938000,"Emergency Department",15,163,"1000 HARRINGTON BLVD
MOUNT CLEMENS, MI
(42.586795, -82.896918)",2
21304,"PETERSBURG MEDICAL CENTER"," PO BOX 589",PETERSBURG,AK,99833,9077724291,"Emergency Department","Not Available","Not Available","PO BOX 589
PETERSBURG, AK
","Not Available"
230222,"MIDMICHIGAN MEDICAL CENTER-MIDLAND","4000 WELLNESS DRIVE",MIDLAND,MI,48670,9898393000,"Emergency Department",28,443,"4000 WELLNESS DRIVE
MIDLAND, MI
(43.635617, -84.261689)",3
230244,"GARDEN CITY HOSPITAL","6245 INKSTER RD","GARDEN CITY",MI,48135,7344213300,"Emergency Department",32,472,"6245 INKSTER RD
GARDEN CITY, MI
(42.332356, -83.311771)",3
21307,"CORDOVA COMMUNITY MEDICAL CENTER","PO BOX 160 - 602 CHASE AVENUE",CORDOVA,AK,99574,9074248000,"Emergency Department","Not Available","Not Available","PO BOX 160 - 602 CHASE AVENUE
CORDOVA, AK
","Not Available"
230180,"MIDMICHIGAN MEDICAL CENTER-CLARE","703 N MCEWAN ST",CLARE,MI,48617,9898025000,"Emergency Department",21,437,"703 N MCEWAN ST
CLARE, MI
(43.820724, -84.768349)",4
230207,"MCLAREN OAKLAND","50 NORTH PERRY",PONTIAC,MI,48342,2483385000,"Emergency Department",14,530,"50 NORTH PERRY
PONTIAC, MI
(42.638394, -83.291095)",2
230254,"ASCENSION CRITTENTON HOSPITAL","1101 W UNIVERSITY DRIVE",ROCHESTER,MI,48307,2486525000,"Emergency Department",3,407,"1101 W UNIVERSITY DRIVE
ROCHESTER, MI
(42.680882, -83.149228)",4
230208,"SPARROW CARSON HOSPITAL","406 EAST ELM ST","CARSON CITY",MI,48811,9895843131,"Emergency Department",14,433,"406 EAST ELM ST
CARSON CITY, MI
(43.175978, -84.843072)",4
230193,"MCLAREN LAPEER REGION","1375 N MAIN ST",LAPEER,MI,48446,8106675500,"Emergency Department",21,381,"1375 N MAIN ST
LAPEER, MI
(43.06271, -83.319345)",2
230259,"ST JOSEPH MERCY CHELSEA","775 S MAIN ST",CHELSEA,MI,48118,7344753911,"Emergency Department",18,408,"775 S MAIN ST
CHELSEA, MI
(42.310594, -84.016571)",5
230217,"OAKLAWN HOSPITAL","200 N MADISON",MARSHALL,MI,49068,2697814271,"Emergency Department",35,357,"200 N MADISON
MARSHALL, MI
(42.273087, -84.95779)",5
230195,"ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER","11800 EAST TWELVE MILE ROAD",WARREN,MI,48093,5865735000,"Emergency Department",23,390,"11800 EAST TWELVE MILE ROAD
WARREN, MI
(42.507178, -83.003535)",1
230239,"CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL","500 OSBORN BLVD","SAULT SAINTE MARIE",MI,49783,9066354460,"Emergency Department",32,321,"500 OSBORN BLVD
SAULT SAINTE MARIE, MI
(46.498099, -84.349513)",4
230216,"MCLAREN PORT HURON","1221 PINE GROVE AVE","PORT HURON",MI,48060,8109875000,"Emergency Department",20,808,"1221 PINE GROVE AVE
PORT HURON, MI
(42.986743, -82.427839)",3
